Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:59:52.952,Quaker Bot Long Strafes,MGV2,0.488s,80,50,0.625,100,320,0.312,false
2,07:59:53.808,Quaker Bot Long Strafes,MGV2,0.419s,70,50,0.714,100,280,0.357,false
3,07:59:55.247,Quaker Bot Long Strafes,MGV2,0.556s,90,50,0.556,100,360,0.278,false
4,07:59:56.143,Quaker Bot Long Strafes,MGV2,0.628s,100,50,0.5,100,400,0.25,false
5,07:59:56.804,Quaker Bot Long Strafes,MGV2,0.348s,60,50,0.833,100,240,0.417,false
6,07:59:57.385,Quaker Bot Long Strafes,MGV2,0.419s,70,50,0.714,100,280,0.357,false
7,07:59:58.731,Quaker Bot Long Strafes,MGV2,1.048s,160,50,0.312,100,640,0.156,false
8,07:59:59.708,Quaker Bot Long Strafes,MGV2,0.557s,90,50,0.556,100,360,0.278,false
9,08:00:00.846,Quaker Bot Long Strafes,MGV2,0.627s,100,50,0.5,100,400,0.25,false
10,08:00:01.870,Quaker Bot Long Strafes,MGV2,0.49s,80,50,0.625,100,320,0.312,false
11,08:00:02.816,Quaker Bot Long Strafes,MGV2,0.278s,50,50,1,100,200,0.5,false
12,08:00:06.847,Quaker Bot Long Strafes,MGV2,3.507s,210,90,0.429,180,840,0.214,false
13,08:00:07.582,Quaker Bot Long Strafes,MGV2,0.35s,60,50,0.833,100,240,0.417,false
14,08:00:08.931,Quaker Bot Long Strafes,MGV2,0.628s,100,30,0.3,60,400,0.15,false
15,08:00:10.325,Quaker Bot Long Strafes,MGV2,0.909s,140,50,0.357,100,560,0.179,false
16,08:00:11.128,Quaker Bot Long Strafes,MGV2,0.42s,70,30,0.429,60,280,0.214,false
17,08:00:12.030,Quaker Bot Long Strafes,MGV2,0.419s,70,50,0.714,100,280,0.357,false
18,08:00:13.351,Quaker Bot Long Strafes,MGV2,0.839s,130,50,0.385,100,520,0.192,false
19,08:00:14.345,Quaker Bot Long Strafes,MGV2,0.418s,70,50,0.714,100,280,0.357,false
20,08:00:15.695,Quaker Bot Long Strafes,MGV2,0.697s,110,50,0.455,100,440,0.227,false
21,08:00:16.798,Quaker Bot Long Strafes,MGV2,0.42s,70,50,0.714,100,280,0.357,false
22,08:00:17.983,Quaker Bot Long Strafes,MGV2,0.49s,80,50,0.625,100,320,0.312,false
23,08:00:18.933,Quaker Bot Long Strafes,MGV2,0.489s,80,50,0.625,100,320,0.312,false
24,08:00:20.027,Quaker Bot Long Strafes,MGV2,0.489s,80,50,0.625,100,320,0.312,false
25,08:00:20.900,Quaker Bot Long Strafes,MGV2,0.486s,80,50,0.625,100,320,0.312,false
26,08:00:22.199,Quaker Bot Long Strafes,MGV2,0.628s,100,70,0.7,140,400,0.35,false
27,08:00:22.729,Quaker Bot Long Strafes,MGV2,0.349s,60,50,0.833,100,240,0.417,false
28,08:00:23.309,Quaker Bot Long Strafes,MGV2,0.208s,40,30,0.75,60,160,0.375,false
29,08:00:24.200,Quaker Bot Long Strafes,MGV2,0.347s,60,50,0.833,100,240,0.417,false
30,08:00:25.390,Quaker Bot Long Strafes,MGV2,0.628s,100,50,0.5,100,400,0.25,false
31,08:00:26.423,Quaker Bot Long Strafes,MGV2,0.558s,90,50,0.556,100,360,0.278,false
32,08:00:31.133,Quaker Bot Long Strafes,MGV2,3.877s,190,80,0.421,160,760,0.211,false
33,08:00:32.083,Quaker Bot Long Strafes,MGV2,0.349s,60,50,0.833,100,240,0.417,false
34,08:00:33.046,Quaker Bot Long Strafes,MGV2,0.49s,80,50,0.625,100,320,0.312,false
35,08:00:33.674,Quaker Bot Long Strafes,MGV2,0.279s,50,50,1,100,200,0.5,false
36,08:00:34.214,Quaker Bot Long Strafes,MGV2,0.067s,20,20,1,40,80,0.5,false
37,08:00:34.890,Quaker Bot Long Strafes,MGV2,0.349s,60,50,0.833,100,240,0.417,false
38,08:00:35.641,Quaker Bot Long Strafes,MGV2,0.42s,70,50,0.714,100,280,0.357,false
39,08:00:37.218,Quaker Bot Long Strafes,MGV2,1.195s,120,70,0.583,140,480,0.292,false
40,08:00:37.779,Quaker Bot Long Strafes,MGV2,0.137s,30,30,1,60,120,0.5,false
41,08:00:39.614,Quaker Bot Long Strafes,MGV2,1.19s,150,70,0.467,140,600,0.233,false
42,08:00:40.101,Quaker Bot Long Strafes,MGV2,0.138s,30,30,1,60,120,0.5,false
43,08:00:41.095,Quaker Bot Long Strafes,MGV2,0.698s,110,50,0.455,100,440,0.227,false
44,08:00:41.833,Quaker Bot Long Strafes,MGV2,0.279s,50,50,1,100,200,0.5,false
45,08:00:43.000,Quaker Bot Long Strafes,MGV2,0.698s,110,50,0.455,100,440,0.227,false
46,08:00:43.857,Quaker Bot Long Strafes,MGV2,0.42s,70,50,0.714,100,280,0.357,false
47,08:00:44.428,Quaker Bot Long Strafes,MGV2,0.349s,60,50,0.833,100,240,0.417,false
48,08:00:45.357,Quaker Bot Long Strafes,MGV2,0.49s,80,50,0.625,100,320,0.312,false
49,08:00:46.331,Quaker Bot Long Strafes,MGV2,0.278s,50,50,1,100,200,0.5,false
50,08:00:47.157,Quaker Bot Long Strafes,MGV2,0.278s,50,50,1,100,200,0.5,false
51,08:00:48.458,Quaker Bot Long Strafes,MGV2,0.698s,110,50,0.455,100,440,0.227,false
52,08:00:50.279,Quaker Bot Long Strafes,MGV2,1.407s,140,70,0.5,140,560,0.25,false
53,08:00:51.068,Quaker Bot Long Strafes,MGV2,0.349s,60,30,0.5,60,240,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,4530,2670,5340.0,18120.0,

Kills:,53
Deaths:,0
Fight Time:,33.571999
Avg TTK:,0
Damage Done:,5340.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,16020.0
Scenario:,kinTargetSwitch
Hash:,76055ddd3633c934167378bd9ae968d5
Game Version:,2.0.5.3
Challenge Start:,07:59:51.608
Pause Count:,10
Pause Duration:,94

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.736969
Resolution Scale,100.0
