Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:00:15.839,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
2,01:00:16.140,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
3,01:00:17.740,Quaker Bot Long Strafes,pistol,1.271s,4,1,0.25,100,800,0.125,false
4,01:00:17.996,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
5,01:00:18.416,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
6,01:00:18.745,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
7,01:00:19.076,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
8,01:00:19.453,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
9,01:00:20.022,Quaker Bot Long Strafes,pistol,0.204s,2,1,0.5,100,400,0.25,false
10,01:00:20.450,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
11,01:00:20.749,Quaker Bot Long Strafes 4000,pistol,0.001s,1,1,1,100,200,0.5,false
12,01:00:21.422,Quaker Bot Long Strafes 5000,pistol,0.37s,2,1,0.5,100,400,0.25,false
13,01:00:22.140,Quaker Bot Long Strafes 5000,pistol,0.411s,2,1,0.5,100,400,0.25,false
14,01:00:22.506,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
15,01:00:22.839,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
16,01:00:23.179,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
17,01:00:23.512,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
18,01:00:23.888,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
19,01:00:24.216,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
20,01:00:25.016,Quaker Bot Long Strafes 4000,pistol,0.406s,2,1,0.5,100,400,0.25,false
21,01:00:25.321,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
22,01:00:25.729,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
23,01:00:26.110,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
24,01:00:26.413,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
25,01:00:26.743,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
26,01:00:27.009,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
27,01:00:27.315,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
28,01:00:27.923,Quaker Bot Long Strafes 5000,pistol,0.248s,2,1,0.5,100,400,0.25,false
29,01:00:28.307,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
30,01:00:28.624,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
31,01:00:28.903,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
32,01:00:29.256,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
33,01:00:29.653,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
34,01:00:29.977,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
35,01:00:30.659,Quaker Bot Long Strafes 2000,pistol,0.353s,2,1,0.5,100,400,0.25,false
36,01:00:30.952,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
37,01:00:31.309,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
38,01:00:31.860,Quaker Bot Long Strafes 5000,pistol,0.193s,2,1,0.5,100,400,0.25,false
39,01:00:32.221,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
40,01:00:32.588,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
41,01:00:32.910,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
42,01:00:33.615,Quaker Bot Long Strafes 3000,pistol,0.392s,2,1,0.5,100,400,0.25,false
43,01:00:33.947,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
44,01:00:34.282,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
45,01:00:34.566,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
46,01:00:34.899,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
47,01:00:35.608,Quaker Bot Long Strafes 1000,pistol,0.38s,2,1,0.5,100,400,0.25,false
48,01:00:36.281,Quaker Bot Long Strafes 4000,pistol,0.321s,2,1,0.5,100,400,0.25,false
49,01:00:36.604,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
50,01:00:36.917,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
51,01:00:37.314,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
52,01:00:37.611,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
53,01:00:37.967,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
54,01:00:38.311,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
55,01:00:38.615,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
56,01:00:38.974,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
57,01:00:39.640,Quaker Bot Long Strafes 5000,pistol,0.382s,2,1,0.5,100,400,0.25,false
58,01:00:39.935,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
59,01:00:40.239,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
60,01:00:40.824,Quaker Bot Long Strafes 1000,pistol,0.227s,2,1,0.5,100,400,0.25,false
61,01:00:41.177,Quaker Bot Long Strafes 3000,pistol,0.001s,1,1,1,100,200,0.5,false
62,01:00:41.572,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
63,01:00:42.184,Quaker Bot Long Strafes 3000,pistol,0.308s,2,1,0.5,100,400,0.25,false
64,01:00:42.456,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
65,01:00:43.060,Quaker Bot Long Strafes 3000,pistol,0.208s,2,1,0.5,100,400,0.25,false
66,01:00:43.321,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
67,01:00:43.693,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
68,01:00:44.084,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
69,01:00:44.963,Quaker Bot Long Strafes 1000,pistol,0.586s,3,1,0.333,100,600,0.167,false
70,01:00:45.277,Quaker Bot Long Strafes 3000,pistol,0.001s,1,1,1,100,200,0.5,false
71,01:00:45.625,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
72,01:00:45.952,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
73,01:00:46.244,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
74,01:00:46.648,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
75,01:00:46.939,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
76,01:00:47.322,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
77,01:00:47.548,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
78,01:00:47.873,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
79,01:00:48.203,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
80,01:00:48.458,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
