Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:18:02.139,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,00:18:03.451,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,00:18:04.074,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,00:18:04.963,test,pistol,0.332s,2,1,0.5,1000,4000,0.25,false
5,00:18:05.881,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,00:18:13.138,test,pistol,6.614s,10,1,0.1,1000,20000,0.05,false
7,00:18:14.518,test,pistol,0.815s,3,1,0.333,1000,6000,0.167,false
8,00:18:15.155,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,00:18:15.747,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,00:18:16.647,test,pistol,0.248s,2,1,0.5,1000,4000,0.25,false
11,00:18:17.900,test,pistol,0.634s,3,1,0.333,1000,6000,0.167,false
12,00:18:19.469,test,pistol,0.84s,3,1,0.333,1000,6000,0.167,false
13,00:18:22.237,test,pistol,0.811s,3,1,0.333,1000,6000,0.167,false
14,00:18:24.791,test,pistol,1.785s,5,1,0.2,1000,10000,0.1,false
15,00:18:26.032,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,00:18:28.633,test,pistol,1.816s,5,1,0.2,1000,10000,0.1,false
17,00:18:29.955,test,pistol,0.555s,2,1,0.5,1000,4000,0.25,false
18,00:18:30.578,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,00:18:32.134,test,pistol,0.914s,3,1,0.333,1000,6000,0.167,false
20,00:18:33.336,test,pistol,0.614s,2,1,0.5,1000,4000,0.25,false
21,00:18:34.282,test,pistol,0.448s,2,1,0.5,1000,4000,0.25,false
22,00:18:35.379,test,pistol,0.43s,2,1,0.5,1000,4000,0.25,false
23,00:18:36.540,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,00:18:38.649,test,pistol,1.663s,3,1,0.333,1000,6000,0.167,false
25,00:18:39.467,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,00:18:41.115,test,pistol,0.963s,4,1,0.25,1000,8000,0.125,false
27,00:18:42.232,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,00:18:44.166,test,pistol,1.19s,4,1,0.25,1000,8000,0.125,false
29,00:18:45.209,test,pistol,0.54s,2,1,0.5,1000,4000,0.25,false
30,00:18:46.337,test,pistol,0.442s,2,1,0.5,1000,4000,0.25,false
31,00:18:47.068,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
32,00:18:47.781,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,00:18:49.173,test,pistol,0.719s,2,1,0.5,1000,4000,0.25,false
34,00:18:50.136,test,pistol,0.452s,3,1,0.333,1000,6000,0.167,false
35,00:18:50.855,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
36,00:18:51.972,test,pistol,0.382s,2,1,0.5,1000,4000,0.25,false
37,00:18:52.621,test,pistol,0.225s,2,1,0.5,1000,4000,0.25,false
38,00:18:54.616,test,pistol,1.16s,3,1,0.333,1000,6000,0.167,false
39,00:18:55.434,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,00:18:57.884,test,pistol,1.937s,6,1,0.167,1000,12000,0.083,false
41,00:18:59.129,test,pistol,0.578s,3,1,0.333,1000,6000,0.167,false
42,00:19:00.394,test,pistol,0.695s,3,1,0.333,1000,6000,0.167,false
43,00:19:01.035,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,00:19:01.855,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,00:19:02.947,test,pistol,0.359s,2,1,0.5,1000,4000,0.25,false
46,00:19:03.523,test,pistol,0s,1,1,1,1000,2000,0.5,false
47,00:19:05.372,test,pistol,1.216s,4,1,0.25,1000,8000,0.125,false
48,00:19:06.318,test,pistol,0.405s,2,1,0.5,1000,4000,0.25,false
49,00:19:08.032,test,pistol,0.986s,2,1,0.5,1000,4000,0.25,false
50,00:19:09.853,test,pistol,1.317s,5,1,0.2,1000,10000,0.1,false
51,00:19:10.955,test,pistol,0.456s,3,1,0.333,1000,6000,0.167,false
52,00:19:12.292,test,pistol,0.811s,4,1,0.25,1000,8000,0.125,false
53,00:19:17.760,test,pistol,4.723s,9,1,0.111,1000,18000,0.056,false
54,00:19:19.545,test,pistol,0.264s,2,1,0.5,1000,4000,0.25,false
55,00:19:20.586,test,pistol,0.348s,2,1,0.5,1000,4000,0.25,false
56,00:19:21.414,test,pistol,0.318s,2,1,0.5,1000,4000,0.25,false
57,00:19:22.682,test,pistol,0.439s,2,1,0.5,1000,4000,0.25,false
58,00:19:23.790,test,pistol,0.611s,3,1,0.333,1000,6000,0.167,false
59,00:19:26.359,test,pistol,1.775s,5,1,0.2,1000,10000,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,151,59,59000.0,302000.0,

Kills:,59
Deaths:,0
Fight Time:,41.832001
Avg TTK:,0
Damage Done:,59000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,59.0
Scenario:,pasu small reload
Hash:,a37d2ba4f3f33d59ae7018e37445a5e9
Game Version:,2.0.4.0
Challenge Start:,00:18:01.262

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,394.745483
Resolution Scale,100.0
