Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:03:54.195,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
2,03:03:55.007,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
3,03:03:55.777,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
4,03:03:57.145,Quaker Bot Long Strafes,MG,1.142s,120,40,0.333,80,240,0.333,false
5,03:03:57.773,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
6,03:03:58.602,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
7,03:03:59.448,Quaker Bot Long Strafes,MG,0.487s,80,60,0.75,80,160,0.5,false
8,03:04:00.127,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
9,03:04:00.789,Quaker Bot Long Strafes,MG,0.278s,50,50,1,80,100,0.8,false
10,03:04:01.362,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
11,03:04:01.883,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
12,03:04:02.413,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
13,03:04:03.005,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
14,03:04:04.709,Quaker Bot Long Strafes,MG,1.455s,190,100,0.526,200,380,0.526,false
15,03:04:05.403,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
16,03:04:06.178,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
17,03:04:06.604,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
18,03:04:07.011,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
19,03:04:07.444,Quaker Bot Long Strafes,MG,0.302s,50,40,0.8,80,100,0.8,false
20,03:04:08.300,Quaker Bot Long Strafes,MG,0.556s,90,40,0.444,80,180,0.444,false
21,03:04:08.955,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
22,03:04:09.355,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
23,03:04:09.916,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
24,03:04:10.634,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
25,03:04:11.191,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
26,03:04:11.704,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
27,03:04:12.383,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
28,03:04:13.011,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
29,03:04:13.757,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,80,160,0.5,false
30,03:04:15.142,Quaker Bot Long Strafes,MG,1.162s,140,60,0.429,120,280,0.429,false
31,03:04:15.559,Quaker Bot Long Strafes,MG,0.069s,20,20,1,40,40,1,false
32,03:04:16.220,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
33,03:04:16.942,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,80,160,0.5,false
34,03:04:17.695,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
35,03:04:18.353,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
36,03:04:18.948,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
37,03:04:19.905,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
38,03:04:20.496,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
39,03:04:21.375,Quaker Bot Long Strafes,MG,0.557s,90,50,0.556,80,180,0.444,false
40,03:04:21.855,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
41,03:04:22.500,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
42,03:04:23.495,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
43,03:04:23.999,Quaker Bot Long Strafes,MG,0.276s,50,50,1,80,100,0.8,false
44,03:04:24.686,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
45,03:04:25.321,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
46,03:04:25.829,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
47,03:04:26.446,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
48,03:04:26.964,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
49,03:04:27.911,Quaker Bot Long Strafes,MG,0.49s,80,50,0.625,80,160,0.5,false
50,03:04:28.592,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
51,03:04:29.158,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
52,03:04:29.871,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
53,03:04:30.496,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
54,03:04:30.962,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
55,03:04:31.544,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
56,03:04:32.412,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,70,160,0.438,false
57,03:04:33.192,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
58,03:04:33.639,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
59,03:04:34.423,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,80,140,0.571,false
60,03:04:35.200,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,70,100,0.7,false
61,03:04:36.144,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
62,03:04:36.679,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
63,03:04:37.142,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
64,03:04:38.123,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
65,03:04:38.606,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
66,03:04:39.164,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
67,03:04:39.746,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
68,03:04:40.201,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
69,03:04:40.731,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
70,03:04:41.299,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
71,03:04:41.859,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
72,03:04:42.549,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
73,03:04:43.080,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
74,03:04:43.614,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
75,03:04:44.231,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
76,03:04:44.734,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
77,03:04:45.245,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
78,03:04:45.735,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
79,03:04:47.014,Quaker Bot Long Strafes,MG,0.959s,120,70,0.583,140,240,0.583,false
80,03:04:47.474,Quaker Bot Long Strafes,MG,0.137s,30,10,0.333,20,60,0.333,false
81,03:04:48.394,Quaker Bot Long Strafes,MG,0.698s,110,40,0.364,80,220,0.364,false
82,03:04:49.256,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
83,03:04:49.979,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,80,160,0.5,false
84,03:04:51.746,Quaker Bot Long Strafes,MG,1.444s,170,80,0.471,160,340,0.471,false
85,03:04:52.219,Quaker Bot Long Strafes,MG,0.138s,30,20,0.667,40,60,0.667,false
86,03:04:52.747,Quaker Bot Long Strafes,MG,0.209s,40,20,0.5,40,80,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,5110,3530,6890.0,10220.0,

Kills:,86
Deaths:,0
Fight Time:,30.76
Avg TTK:,0
Damage Done:,6890.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,4.125
Score:,6890.0
Scenario:,patTS 90 NR
Hash:,aaf11d4d057df3dd177ba4d0b74e5f8c
Game Version:,v2.6.3
Challenge Start:,03:03:53.205
Pause Count:,27
Pause Duration:,198

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.399536
Resolution Scale,100.0
