Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:12:31.385,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
2,20:12:31.986,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
3,20:12:32.617,Quaker Bot Long Strafes,LG,0.389s,40,20,0.5,100,200,0.5,false
4,20:12:33.513,Quaker Bot Long Strafes,LG,0.736s,44,20,0.455,100,220,0.455,false
5,20:12:34.064,Quaker Bot Long Strafes,LG,0.299s,31,20,0.645,100,155,0.645,false
6,20:12:34.688,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
7,20:12:35.454,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
8,20:12:36.689,Quaker Bot Long Strafes,LG,1.073s,80,34,0.425,170,400,0.425,false
9,20:12:37.209,Quaker Bot Long Strafes,LG,0.268s,28,20,0.714,100,140,0.714,false
10,20:12:37.669,Quaker Bot Long Strafes,LG,0.199s,21,20,0.952,100,105,0.952,false
11,20:12:38.489,Quaker Bot Long Strafes,LG,0.297s,31,20,0.645,100,155,0.645,false
12,20:12:39.161,Quaker Bot Long Strafes,LG,0.467s,48,20,0.417,100,240,0.417,false
13,20:12:39.890,Quaker Bot Long Strafes,LG,0.339s,35,20,0.571,100,175,0.571,false
14,20:12:40.487,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
15,20:12:41.237,Quaker Bot Long Strafes,LG,0.279s,29,20,0.69,100,145,0.69,false
16,20:12:41.822,Quaker Bot Long Strafes,LG,0.097s,11,6,0.545,30,55,0.545,false
17,20:12:42.503,Quaker Bot Long Strafes,LG,0.308s,32,20,0.625,100,160,0.625,false
18,20:12:43.035,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
19,20:12:43.724,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
20,20:12:44.255,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
21,20:12:44.772,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
22,20:12:45.391,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
23,20:12:46.063,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
24,20:12:46.765,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
25,20:12:47.483,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
26,20:12:48.053,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
27,20:12:48.749,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
28,20:12:49.373,Quaker Bot Long Strafes,LG,0.298s,31,20,0.645,100,155,0.645,false
29,20:12:50.085,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
30,20:12:50.927,Quaker Bot Long Strafes,LG,0.359s,37,20,0.541,100,185,0.541,false
31,20:12:51.594,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
32,20:12:52.130,Quaker Bot Long Strafes,LG,0.268s,26,20,0.769,100,130,0.769,false
33,20:12:52.578,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
34,20:12:53.168,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
35,20:12:53.736,Quaker Bot Long Strafes,LG,0.229s,24,20,0.833,100,120,0.833,false
36,20:12:54.234,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
37,20:12:56.264,Quaker Bot Long Strafes,LG,1.498s,101,56,0.554,280,505,0.554,false
38,20:12:56.697,Quaker Bot Long Strafes,LG,0.017s,3,3,1,15,15,1,false
39,20:12:57.298,Quaker Bot Long Strafes,LG,0.518s,34,20,0.588,100,170,0.588,false
40,20:12:57.970,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
41,20:12:58.974,Quaker Bot Long Strafes,LG,0.594s,42,16,0.381,80,210,0.381,false
42,20:12:59.366,Quaker Bot Long Strafes,LG,0.036s,5,5,1,25,25,1,false
43,20:13:00.018,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
44,20:13:00.654,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
45,20:13:01.576,Quaker Bot Long Strafes,LG,0.557s,57,23,0.404,115,285,0.404,false
46,20:13:01.983,Quaker Bot Long Strafes,LG,0.339s,30,17,0.567,85,150,0.567,false
47,20:13:02.913,Quaker Bot Long Strafes,LG,0.735s,61,34,0.557,170,305,0.557,false
48,20:13:03.087,Quaker Bot Long Strafes,LG,0.047s,6,6,1,30,30,1,false
49,20:13:03.843,Quaker Bot Long Strafes,LG,0.655s,59,20,0.339,100,295,0.339,false
50,20:13:04.400,Quaker Bot Long Strafes,LG,0.279s,29,20,0.69,100,145,0.69,false
51,20:13:05.049,Quaker Bot Long Strafes,LG,0.339s,35,20,0.571,100,175,0.571,false
52,20:13:05.560,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
53,20:13:06.208,Quaker Bot Long Strafes,LG,0.208s,22,20,0.909,100,110,0.909,false
54,20:13:06.885,Quaker Bot Long Strafes,LG,0.208s,22,20,0.909,100,110,0.909,false
55,20:13:07.459,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
56,20:13:08.135,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
57,20:13:09.066,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
58,20:13:10.449,Quaker Bot Long Strafes,LG,0.762s,57,39,0.684,195,285,0.684,false
59,20:13:10.556,Quaker Bot Long Strafes,LG,0s,1,1,1,5,5,1,false
60,20:13:11.725,Quaker Bot Long Strafes,LG,0.973s,71,20,0.282,100,355,0.282,false
61,20:13:12.353,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
62,20:13:13.105,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
63,20:13:13.765,Quaker Bot Long Strafes,LG,0.259s,27,20,0.741,100,135,0.741,false
64,20:13:14.702,Quaker Bot Long Strafes,LG,0.665s,53,35,0.66,175,265,0.66,false
65,20:13:14.842,Quaker Bot Long Strafes,LG,0.037s,5,5,1,25,25,1,false
66,20:13:15.532,Quaker Bot Long Strafes,LG,0.551s,37,20,0.541,100,185,0.541,false
67,20:13:16.411,Quaker Bot Long Strafes,LG,0.496s,51,20,0.392,100,255,0.392,false
68,20:13:17.684,Quaker Bot Long Strafes,LG,1.138s,52,39,0.75,195,260,0.75,false
69,20:13:18.298,Quaker Bot Long Strafes,LG,0s,1,1,1,5,5,1,false
70,20:13:19.609,Quaker Bot Long Strafes,LG,0.839s,65,38,0.585,190,325,0.585,false
71,20:13:20.134,Quaker Bot Long Strafes,LG,0.006s,2,2,1,10,10,1,false
72,20:13:21.829,Quaker Bot Long Strafes,LG,1.191s,64,37,0.578,185,320,0.578,false
73,20:13:22.476,Quaker Bot Long Strafes,LG,0.087s,10,3,0.3,15,50,0.3,false
74,20:13:23.744,Quaker Bot Long Strafes,LG,0.952s,69,39,0.565,195,345,0.565,false
75,20:13:24.343,Quaker Bot Long Strafes,LG,0.149s,16,1,0.062,5,80,0.062,false
76,20:13:25.039,Quaker Bot Long Strafes,LG,0.349s,36,20,0.556,100,180,0.556,false
77,20:13:25.665,Quaker Bot Long Strafes,LG,0.377s,39,20,0.513,100,195,0.513,false
78,20:13:26.344,Quaker Bot Long Strafes,LG,0.386s,40,20,0.5,100,200,0.5,false
79,20:13:27.015,Quaker Bot Long Strafes,LG,0.317s,33,20,0.606,100,165,0.606,false
80,20:14:52.021,Quaker Bot Long Strafes,LG,1.114s,76,39,0.513,195,380,0.513,false
81,20:14:52.716,Quaker Bot Long Strafes,LG,0.377s,39,20,0.513,100,195,0.513,false
