Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:15:16.377,Quaker Bot Long Strafes,LG,0.599s,61,20,0.328,100,305,0.328,false
2,17:15:17.198,Quaker Bot Long Strafes,LG,0.563s,57,20,0.351,100,285,0.351,false
3,17:15:17.728,Quaker Bot Long Strafes,LG,0.272s,28,20,0.714,100,140,0.714,false
4,17:15:18.517,Quaker Bot Long Strafes,LG,0.532s,54,20,0.37,100,270,0.37,false
5,17:15:19.295,Quaker Bot Long Strafes,LG,0.527s,54,20,0.37,100,270,0.37,false
6,17:15:19.918,Quaker Bot Long Strafes,LG,0.37s,38,20,0.526,100,190,0.526,false
7,17:15:20.738,Quaker Bot Long Strafes,LG,0.561s,57,20,0.351,100,285,0.351,false
8,17:15:21.777,Quaker Bot Long Strafes,LG,0.781s,79,20,0.253,100,395,0.253,false
9,17:15:22.757,Quaker Bot Long Strafes,LG,0.724s,73,20,0.274,100,365,0.274,false
10,17:15:24.385,Quaker Bot Long Strafes,LG,1.377s,139,38,0.273,190,695,0.273,false
11,17:15:25.238,Quaker Bot Long Strafes,LG,0.602s,61,20,0.328,100,305,0.328,false
12,17:15:26.318,Quaker Bot Long Strafes,LG,0.832s,84,20,0.238,100,420,0.238,false
13,17:15:26.818,Quaker Bot Long Strafes,LG,0.251s,26,20,0.769,100,130,0.769,false
14,17:15:27.478,Quaker Bot Long Strafes,LG,0.401s,41,2,0.049,10,205,0.049,false
15,17:15:28.627,Quaker Bot Long Strafes,LG,0.893s,90,20,0.222,100,450,0.222,false
16,17:15:29.739,Quaker Bot Long Strafes,LG,0.861s,87,20,0.23,100,435,0.23,false
17,17:15:31.206,Quaker Bot Long Strafes,LG,1.209s,122,20,0.164,100,610,0.164,false
18,17:15:32.201,Quaker Bot Long Strafes,LG,0.83s,84,20,0.238,100,420,0.238,false
19,17:15:32.716,Quaker Bot Long Strafes,LG,0.267s,28,20,0.714,100,140,0.714,false
20,17:15:33.479,Quaker Bot Long Strafes,LG,0.509s,52,20,0.385,100,260,0.385,false
21,17:15:34.069,Quaker Bot Long Strafes,LG,0.33s,34,20,0.588,100,170,0.588,false
22,17:15:36.368,Quaker Bot Long Strafes,LG,2.039s,205,38,0.185,190,1025,0.185,false
23,17:15:36.826,Quaker Bot Long Strafes,LG,0.202s,21,2,0.095,10,105,0.095,false
24,17:15:38.278,Quaker Bot Long Strafes,LG,1.238s,125,38,0.304,190,625,0.304,false
25,17:15:38.315,Quaker Bot Long Strafes,LG,0.01s,2,2,1,10,10,1,false
26,17:15:39.567,Quaker Bot Long Strafes,LG,0.999s,101,20,0.198,100,505,0.198,false
27,17:15:40.459,Quaker Bot Long Strafes,LG,0.638s,65,20,0.308,100,325,0.308,false
28,17:15:41.147,Quaker Bot Long Strafes,LG,0.428s,44,20,0.455,100,220,0.455,false
29,17:15:42.286,Quaker Bot Long Strafes,LG,0.889s,90,20,0.222,100,450,0.222,false
30,17:15:43.348,Quaker Bot Long Strafes,LG,0.809s,82,20,0.244,100,410,0.244,false
31,17:15:44.185,Quaker Bot Long Strafes,LG,0.579s,59,20,0.339,100,295,0.339,false
32,17:15:45.008,Quaker Bot Long Strafes,LG,0.572s,58,20,0.345,100,290,0.345,false
33,17:15:45.747,Quaker Bot Long Strafes,LG,0.481s,49,20,0.408,100,245,0.408,false
34,17:15:46.667,Quaker Bot Long Strafes,LG,0.668s,68,20,0.294,100,340,0.294,false
35,17:15:47.350,Quaker Bot Long Strafes,LG,0.49s,50,20,0.4,100,250,0.4,false
36,17:15:48.011,Quaker Bot Long Strafes,LG,0.428s,44,20,0.455,100,220,0.455,false
37,17:15:48.816,Quaker Bot Long Strafes,LG,0.557s,57,20,0.351,100,285,0.351,false
38,17:15:50.306,Quaker Bot Long Strafes,LG,1.239s,125,20,0.16,100,625,0.16,false
39,17:15:51.408,Quaker Bot Long Strafes,LG,0.849s,86,20,0.233,100,430,0.233,false
40,17:15:52.319,Quaker Bot Long Strafes,LG,0.652s,66,20,0.303,100,330,0.303,false
41,17:15:53.386,Quaker Bot Long Strafes,LG,0.809s,82,20,0.244,100,410,0.244,false
42,17:15:54.108,Quaker Bot Long Strafes,LG,0.469s,48,20,0.417,100,240,0.417,false
43,17:15:55.187,Quaker Bot Long Strafes,LG,0.821s,83,20,0.241,100,415,0.241,false
44,17:15:55.997,Quaker Bot Long Strafes,LG,0.559s,57,20,0.351,100,285,0.351,false
45,17:15:56.569,Quaker Bot Long Strafes,LG,0.313s,32,20,0.625,100,160,0.625,false
46,17:15:58.507,Quaker Bot Long Strafes,LG,1.681s,169,20,0.118,100,845,0.118,false
47,17:15:59.360,Quaker Bot Long Strafes,LG,0.599s,61,20,0.328,100,305,0.328,false
48,17:16:00.347,Quaker Bot Long Strafes,LG,0.731s,74,20,0.27,100,370,0.27,false
49,17:16:01.477,Quaker Bot Long Strafes,LG,0.88s,89,20,0.225,100,445,0.225,false
50,17:16:02.274,Quaker Bot Long Strafes,LG,0.548s,56,20,0.357,100,280,0.357,false
51,17:16:03.262,Quaker Bot Long Strafes,LG,0.76s,77,20,0.26,100,385,0.26,false
52,17:16:04.544,Quaker Bot Long Strafes,LG,0.786s,80,20,0.25,100,400,0.25,false
53,17:16:05.184,Quaker Bot Long Strafes,LG,0.392s,40,20,0.5,100,200,0.5,false
54,17:16:06.365,Quaker Bot Long Strafes,LG,0.922s,93,20,0.215,100,465,0.215,false
55,17:16:07.546,Quaker Bot Long Strafes,LG,0.922s,93,20,0.215,100,465,0.215,false
56,17:16:08.141,Quaker Bot Long Strafes,LG,0.338s,35,20,0.571,100,175,0.571,false
57,17:16:08.967,Quaker Bot Long Strafes,LG,0.571s,58,20,0.345,100,290,0.345,false
58,17:16:09.784,Quaker Bot Long Strafes,LG,0.559s,57,20,0.351,100,285,0.351,false
59,17:16:10.495,Quaker Bot Long Strafes,LG,0.459s,47,20,0.426,100,235,0.426,false
60,17:16:11.192,Quaker Bot Long Strafes,LG,0.44s,45,20,0.444,100,225,0.444,false
61,17:16:12.015,Quaker Bot Long Strafes,LG,0.57s,58,20,0.345,100,290,0.345,false
62,17:16:12.892,Quaker Bot Long Strafes,LG,0.621s,63,20,0.317,100,315,0.317,false
63,17:16:13.545,Quaker Bot Long Strafes,LG,0.401s,41,20,0.488,100,205,0.488,false
64,17:16:14.364,Quaker Bot Long Strafes,LG,0.56s,57,20,0.351,100,285,0.351,false

