Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:57:12.392,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
2,21:57:14.141,Quaker Bot Long Strafes,LG,1.127s,80,36,0.45,180,400,0.45,false
3,21:57:14.708,Quaker Bot Long Strafes,LG,0.026s,4,4,1,20,20,1,false
4,21:57:15.332,Quaker Bot Long Strafes,LG,0.198s,21,20,0.952,100,105,0.952,false
5,21:57:16.071,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
6,21:57:16.807,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
7,21:57:17.367,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
8,21:57:19.256,Quaker Bot Long Strafes,LG,1.366s,72,30,0.417,150,360,0.417,false
9,21:57:19.825,Quaker Bot Long Strafes,LG,0.087s,10,10,1,50,50,1,false
10,21:57:20.752,Quaker Bot Long Strafes,LG,0.4s,41,20,0.488,100,205,0.488,false
11,21:57:21.900,Quaker Bot Long Strafes,LG,0.668s,35,20,0.571,100,175,0.571,false
12,21:57:22.350,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
13,21:57:23.145,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
14,21:57:23.816,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
15,21:57:24.558,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
16,21:57:25.259,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
17,21:57:25.964,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
18,21:57:26.670,Quaker Bot Long Strafes,LG,0.207s,22,20,0.909,100,110,0.909,false
19,21:57:27.418,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
20,21:57:28.067,Quaker Bot Long Strafes,LG,0.199s,21,20,0.952,100,105,0.952,false
21,21:57:28.657,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
22,21:57:29.258,Quaker Bot Long Strafes,LG,0.227s,24,20,0.833,100,120,0.833,false
23,21:57:29.987,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
24,21:57:30.685,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
25,21:57:31.283,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
26,21:57:31.880,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
27,21:57:32.675,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
28,21:57:33.306,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
29,21:57:34.181,Quaker Bot Long Strafes,LG,0.318s,33,20,0.606,100,165,0.606,false
30,21:57:34.834,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
31,21:57:35.417,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
32,21:57:36.119,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
33,21:57:37.059,Quaker Bot Long Strafes,LG,0.399s,41,20,0.488,100,205,0.488,false
34,21:57:37.640,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
35,21:57:38.614,Quaker Bot Long Strafes,LG,0.208s,22,20,0.909,100,110,0.909,false
36,21:57:39.328,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
37,21:57:40.121,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
38,21:57:40.916,Quaker Bot Long Strafes,LG,0.319s,33,20,0.606,100,165,0.606,false
39,21:57:41.835,Quaker Bot Long Strafes,LG,0.388s,40,20,0.5,100,200,0.5,false
40,21:57:42.527,Quaker Bot Long Strafes,LG,0.207s,22,20,0.909,100,110,0.909,false
41,21:57:43.225,Quaker Bot Long Strafes,LG,0.238s,25,20,0.8,100,125,0.8,false
42,21:57:44.703,Quaker Bot Long Strafes,LG,1.023s,71,38,0.535,190,355,0.535,false
43,21:57:45.310,Quaker Bot Long Strafes,LG,0.006s,2,2,1,10,10,1,false
44,21:57:45.807,Quaker Bot Long Strafes,LG,0.376s,25,20,0.8,100,125,0.8,false
45,21:57:47.512,Quaker Bot Long Strafes,LG,1.065s,62,20,0.323,100,310,0.323,false
46,21:57:48.217,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
47,21:57:49.093,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
48,21:57:50.026,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
49,21:57:51.365,Quaker Bot Long Strafes,LG,0.429s,44,20,0.455,100,220,0.455,false
50,21:57:52.123,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
51,21:57:52.970,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
52,21:57:54.300,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
53,21:57:55.606,Quaker Bot Long Strafes,LG,0.866s,47,34,0.723,170,235,0.723,false
54,21:57:56.267,Quaker Bot Long Strafes,LG,0.076s,9,6,0.667,30,45,0.667,false
55,21:57:57.039,Quaker Bot Long Strafes,LG,0.289s,30,20,0.667,100,150,0.667,false
56,21:57:57.751,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
57,21:57:58.509,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
58,21:57:59.389,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
59,21:58:00.308,Quaker Bot Long Strafes,LG,0.327s,34,20,0.588,100,170,0.588,false
60,21:58:01.013,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
61,21:58:01.899,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
62,21:58:02.711,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
63,21:58:03.694,Quaker Bot Long Strafes,LG,0.359s,37,20,0.541,100,185,0.541,false
64,21:58:04.409,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
65,21:58:05.423,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
66,21:58:06.920,Quaker Bot Long Strafes,LG,0.923s,78,20,0.256,100,390,0.256,false
67,21:58:07.518,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
68,21:58:08.326,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
69,21:58:09.166,Quaker Bot Long Strafes,LG,0.229s,24,20,0.833,100,120,0.833,false
70,21:58:10.029,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
71,21:58:11.028,Quaker Bot Long Strafes,LG,0.328s,34,20,0.588,100,170,0.588,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1916,1420,7100.0,9580.0,

Kills:,71
Deaths:,0
Fight Time:,21.101
Avg TTK:,0
Damage Done:,7100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,71.0
Scenario:,voxTargetSwitch
Hash:,0726d639df23bb87e88e374b5038d834
Game Version:,2.0.4.0
Challenge Start:,21:57:11.136

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.649689
Resolution Scale,100.0
