Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:40:32.135,target,pistol,0.001s,1,1,1,25,50,0.5,false
2,19:40:32.462,target,pistol,0.001s,1,1,1,25,50,0.5,false
3,19:40:32.806,target,pistol,0s,1,1,1,25,50,0.5,false
4,19:40:33.301,target,pistol,0s,1,1,1,25,50,0.5,false
5,19:40:33.739,target,pistol,0s,1,1,1,25,50,0.5,false
6,19:40:34.551,target,pistol,0.398s,2,1,0.5,25,100,0.25,false
7,19:40:34.935,target,pistol,0.001s,1,1,1,25,50,0.5,false
8,19:40:35.336,target,pistol,0s,1,1,1,25,50,0.5,false
9,19:40:35.735,target,pistol,0s,1,1,1,25,50,0.5,false
10,19:40:36.207,target,pistol,0s,1,1,1,25,50,0.5,false
11,19:40:36.917,target,pistol,0.25s,2,1,0.5,25,100,0.25,false
12,19:40:38.356,target,pistol,0.988s,3,1,0.333,25,150,0.167,false
13,19:40:38.819,target,pistol,0s,1,1,1,25,50,0.5,false
14,19:40:39.675,target,pistol,0.444s,2,1,0.5,25,100,0.25,false
15,19:40:40.044,target,pistol,0s,1,1,1,25,50,0.5,false
16,19:40:40.422,target,pistol,0s,1,1,1,25,50,0.5,false
17,19:40:40.875,target,pistol,0s,1,1,1,25,50,0.5,false
18,19:40:41.384,target,pistol,0.14s,2,1,0.5,25,100,0.25,false
19,19:40:42.323,target,pistol,0.509s,2,1,0.5,25,100,0.25,false
20,19:40:42.687,target,pistol,0s,1,1,1,25,50,0.5,false
21,19:40:43.086,target,pistol,0s,1,1,1,25,50,0.5,false
22,19:40:43.462,target,pistol,0.001s,1,1,1,25,50,0.5,false
23,19:40:43.848,target,pistol,0s,1,1,1,25,50,0.5,false
24,19:40:44.285,target,pistol,0s,1,1,1,25,50,0.5,false
25,19:40:44.649,target,pistol,0s,1,1,1,25,50,0.5,false
26,19:40:45.070,target,pistol,0s,1,1,1,25,50,0.5,false
27,19:40:45.490,target,pistol,0s,1,1,1,25,50,0.5,false
28,19:40:46.331,target,pistol,0.47s,2,1,0.5,25,100,0.25,false
29,19:40:47.200,target,pistol,0.482s,2,1,0.5,25,100,0.25,false
30,19:40:47.664,target,pistol,0s,1,1,1,25,50,0.5,false
31,19:40:48.115,target,pistol,0s,1,1,1,25,50,0.5,false
32,19:40:48.495,target,pistol,0s,1,1,1,25,50,0.5,false
33,19:40:48.851,target,pistol,0s,1,1,1,25,50,0.5,false
34,19:40:49.329,target,pistol,0.001s,1,1,1,25,50,0.5,false
35,19:40:49.740,target,pistol,0s,1,1,1,25,50,0.5,false
36,19:40:50.166,target,pistol,0s,1,1,1,25,50,0.5,false
37,19:40:50.509,target,pistol,0s,1,1,1,25,50,0.5,false
38,19:40:51.122,target,pistol,0s,1,1,1,25,50,0.5,false
39,19:40:51.554,target,pistol,0s,1,1,1,25,50,0.5,false
40,19:40:51.987,target,pistol,0s,1,1,1,25,50,0.5,false
41,19:40:52.428,target,pistol,0s,1,1,1,25,50,0.5,false
42,19:40:52.860,target,pistol,0s,1,1,1,25,50,0.5,false
43,19:40:53.696,target,pistol,0.47s,2,1,0.5,25,100,0.25,false
44,19:40:54.102,target,pistol,0s,1,1,1,25,50,0.5,false
45,19:40:54.554,target,pistol,0s,1,1,1,25,50,0.5,false
46,19:40:55.391,target,pistol,0.481s,2,1,0.5,25,100,0.25,false
47,19:40:56.279,target,pistol,0.455s,2,1,0.5,25,100,0.25,false
48,19:40:56.641,target,pistol,0s,1,1,1,25,50,0.5,false
49,19:40:57.070,target,pistol,0s,1,1,1,25,50,0.5,false
50,19:40:57.575,target,pistol,0s,1,1,1,25,50,0.5,false
51,19:40:57.934,target,pistol,0s,1,1,1,25,50,0.5,false
52,19:40:58.362,target,pistol,0s,1,1,1,25,50,0.5,false
53,19:40:58.758,target,pistol,0s,1,1,1,25,50,0.5,false
